=== LOG DLA 60 FLOWS ===

===== RUN 0 =====
FLOW 0 IP: 13 -> 9 -> 6 | ACCEPTED
FLOW 29 IP: 13 -> 9 -> 6 -> 2 | ACCEPTED
FLOW 29 CSPF: 13 -> 9 -> 6 -> 2 | ACCEPTED
FLOW 29 WEIGHTED: 13 -> 9 -> 6 -> 2 | ACCEPTED
FLOW 30 IP: 10 -> 6 -> 4 | ACCEPTED
FLOW 30 CSPF: 10 -> 6 -> 4 | ACCEPTED
FLOW 30 WEIGHTED: 10 -> 6 -> 4 | ACCEPTED
FLOW 31 IP: 1 -> 6 -> 10 | ACCEPTED
FLOW 31 CSPF: 1 -> 6 -> 10 | ACCEPTED
FLOW 31 WEIGHTED: 1 -> 10 | ACCEPTED
FLOW 32 IP: 2 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 32 CSPF: 2 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 32 WEIGHTED: 2 -> 0 -> 8 -> 14 | ACCEPTED
FLOW 33 IP: 1 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 33 CSPF: 1 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 33 WEIGHTED: 1 -> 13 -> 14 | ACCEPTED
FLOW 34 IP: 6 -> 9 -> 13 | ACCEPTED
FLOW 34 CSPF: 6 -> 9 -> 13 | ACCEPTED
FLOW 34 WEIGHTED: 6 -> 9 -> 13 | ACCEPTED
FLOW 35 IP: 8 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 35 CSPF: 8 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 35 WEIGHTED: 8 -> 0 -> 10 -> 12 | ACCEPTED
FLOW 36 IP: 3 -> 7 -> 8 -> 14 | ACCEPTED
FLOW 36 CSPF: 3 -> 7 -> 8 -> 14 | ACCEPTED
FLOW 36 WEIGHTED: 3 -> 7 -> 8 -> 14 | ACCEPTED
FLOW 37 IP: 6 -> 9 | ACCEPTED
FLOW 37 CSPF: 6 -> 9 | ACCEPTED
FLOW 37 WEIGHTED: 6 -> 9 | ACCEPTED
FLOW 38 IP: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 38 CSPF: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 38 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 39 IP: 5 -> 13 -> 9 | ACCEPTED
FLOW 39 CSPF: 5 -> 13 -> 9 | ACCEPTED
FLOW 39 WEIGHTED: 5 -> 4 -> 9 | ACCEPTED
FLOW 40 IP: 9 -> 6 -> 10 | ACCEPTED
FLOW 40 CSPF: 9 -> 6 -> 10 | ACCEPTED
FLOW 40 WEIGHTED: 9 -> 6 -> 10 | ACCEPTED
FLOW 41 IP: 3 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 41 CSPF: 3 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 41 WEIGHTED: 3 -> 7 -> 0 | ACCEPTED
FLOW 42 IP: 11 -> 7 -> 3 | ACCEPTED
FLOW 42 CSPF: 11 -> 7 -> 3 | ACCEPTED
FLOW 42 WEIGHTED: 11 -> 3 | ACCEPTED
FLOW 43 IP: 2 -> 0 -> 5 | ACCEPTED
FLOW 43 CSPF: 2 -> 0 -> 5 | ACCEPTED
FLOW 43 WEIGHTED: 2 -> 0 -> 5 | ACCEPTED
FLOW 44 IP: 0 -> 8 -> 6 -> 1 | ACCEPTED
FLOW 44 CSPF: 0 -> 8 -> 6 -> 1 | ACCEPTED
FLOW 44 WEIGHTED: 0 -> 1 | ACCEPTED
FLOW 45 IP: 11 -> 7 -> 3 | ACCEPTED
FLOW 45 CSPF: 11 -> 7 -> 3 | ACCEPTED
FLOW 45 WEIGHTED: 11 -> 7 -> 3 | ACCEPTED
FLOW 46 IP: 9 -> 6 -> 10 | REJECTED
FLOW 46 CSPF: 9 -> 13 -> 10 | ACCEPTED
FLOW 46 WEIGHTED: 9 -> 6 -> 10 | ACCEPTED
FLOW 47 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 47 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 47 WEIGHTED: 10 -> 1 | ACCEPTED
FLOW 48 IP: 10 -> 6 -> 11 -> 7 -> 3 | REJECTED
FLOW 48 CSPF: 10 -> 7 -> 3 | ACCEPTED
FLOW 48 WEIGHTED: 10 -> 0 -> 8 -> 3 | ACCEPTED
FLOW 49 IP: 9 -> 6 -> 1 | ACCEPTED
FLOW 49 CSPF: 9 -> 6 -> 1 | ACCEPTED
FLOW 49 WEIGHTED: 9 -> 6 -> 1 | ACCEPTED
FLOW 50 IP: 5 -> 13 | ACCEPTED
FLOW 50 CSPF: 5 -> 13 | ACCEPTED
FLOW 50 WEIGHTED: 5 -> 13 | ACCEPTED
FLOW 51 IP: 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 51 CSPF: 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 51 WEIGHTED: 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 52 IP: 2 -> 6 -> 11 | ACCEPTED
FLOW 52 CSPF: 2 -> 6 -> 11 | ACCEPTED
FLOW 52 WEIGHTED: 2 -> 6 -> 11 | ACCEPTED
FLOW 53 IP: 3 -> 7 -> 11 | ACCEPTED
FLOW 53 CSPF: 3 -> 7 -> 11 | ACCEPTED
FLOW 53 WEIGHTED: 3 -> 7 -> 11 | ACCEPTED
FLOW 54 IP: 10 -> 0 | ACCEPTED
FLOW 54 CSPF: 10 -> 0 | ACCEPTED
FLOW 54 WEIGHTED: 10 -> 0 | ACCEPTED
FLOW 55 IP: 9 -> 6 -> 1 | REJECTED
FLOW 55 CSPF: 9 -> 13 -> 1 | ACCEPTED
FLOW 55 WEIGHTED: 9 -> 13 -> 1 | ACCEPTED
FLOW 56 IP: 3 -> 7 -> 11 -> 6 -> 1 | ACCEPTED
FLOW 56 CSPF: 3 -> 7 -> 11 -> 6 -> 1 | ACCEPTED
FLOW 56 WEIGHTED: 3 -> 7 -> 6 -> 1 | ACCEPTED
FLOW 57 IP: 6 -> 2 | ACCEPTED
FLOW 57 CSPF: 6 -> 2 | ACCEPTED
FLOW 57 WEIGHTED: 6 -> 2 | ACCEPTED
FLOW 58 IP: 7 -> 8 -> 0 | ACCEPTED
FLOW 58 CSPF: 7 -> 8 -> 0 | ACCEPTED
FLOW 58 WEIGHTED: 7 -> 0 | ACCEPTED
FLOW 59 IP: 11 -> 6 | ACCEPTED
FLOW 59 CSPF: 11 -> 6 | ACCEPTED
FLOW 59 WEIGHTED: 11 -> 6 | ACCEPTED

===== RUN 1 =====
FLOW 0 IP: 2 -> 6 -> 9 | ACCEPTED
FLOW 0 CSPF: 2 -> 6 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 2 -> 6 -> 9 | ACCEPTED
FLOW 1 IP: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 1 CSPF: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 1 -> 6 -> 11 -> 7 | ACCEPTED
FLOW 2 IP: 10 -> 6 | ACCEPTED
FLOW 2 CSPF: 10 -> 6 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 3 IP: 7 -> 8 -> 0 | ACCEPTED
FLOW 3 CSPF: 7 -> 8 -> 0 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 8 -> 0 | ACCEPTED
FLOW 4 IP: 9 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 4 CSPF: 9 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 5 IP: 7 -> 4 | ACCEPTED
FLOW 5 CSPF: 7 -> 4 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 4 | ACCEPTED
FLOW 6 IP: 1 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 6 CSPF: NONE | REJECTED
FLOW 6 WEIGHTED: NONE | REJECTED
FLOW 7 IP: 0 -> 10 | ACCEPTED
FLOW 7 CSPF: 0 -> 10 | ACCEPTED
FLOW 7 WEIGHTED: 0 -> 10 | ACCEPTED
FLOW 8 IP: 14 -> 4 -> 6 | ACCEPTED
FLOW 8 CSPF: 14 -> 4 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 14 -> 4 -> 6 | ACCEPTED
FLOW 9 IP: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 9 CSPF: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 9 WEIGHTED: 11 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 10 IP: 12 -> 11 -> 7 | ACCEPTED
FLOW 10 CSPF: 12 -> 11 -> 7 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 11 -> 7 | ACCEPTED
FLOW 11 IP: 3 -> 5 | ACCEPTED
FLOW 11 CSPF: 3 -> 5 | ACCEPTED
FLOW 11 WEIGHTED: 3 -> 5 | ACCEPTED
FLOW 12 IP: 3 -> 7 -> 11 -> 12 | ACCEPTED
FLOW 12 CSPF: 3 -> 7 -> 11 -> 12 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 7 -> 6 -> 12 | ACCEPTED
FLOW 13 IP: 4 -> 14 | ACCEPTED
FLOW 13 CSPF: 4 -> 14 | ACCEPTED
FLOW 13 WEIGHTED: 4 -> 14 | ACCEPTED
FLOW 14 IP: 13 -> 14 | ACCEPTED
FLOW 14 CSPF: 13 -> 14 | ACCEPTED
FLOW 14 WEIGHTED: 13 -> 14 | ACCEPTED
FLOW 15 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 16 IP: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 16 CSPF: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 16 WEIGHTED: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 17 IP: 11 -> 7 -> 5 | ACCEPTED
FLOW 17 CSPF: 11 -> 7 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 11 -> 7 -> 5 | ACCEPTED
FLOW 18 IP: 6 -> 8 | ACCEPTED
FLOW 18 CSPF: 6 -> 8 | ACCEPTED
FLOW 18 WEIGHTED: 6 -> 8 | ACCEPTED
FLOW 19 IP: 4 -> 6 -> 9 | ACCEPTED
FLOW 19 CSPF: 4 -> 6 -> 9 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 6 -> 9 | ACCEPTED
FLOW 20 IP: 8 -> 6 | ACCEPTED
FLOW 20 CSPF: 8 -> 6 | ACCEPTED
FLOW 20 WEIGHTED: 8 -> 6 | ACCEPTED
FLOW 21 IP: 0 -> 8 -> 7 | ACCEPTED
FLOW 21 CSPF: 0 -> 8 -> 7 | ACCEPTED
FLOW 21 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 22 IP: 12 -> 10 -> 6 | ACCEPTED
FLOW 22 CSPF: 12 -> 10 -> 6 | ACCEPTED
FLOW 22 WEIGHTED: 12 -> 10 -> 6 | ACCEPTED
FLOW 23 IP: 2 -> 0 -> 5 | ACCEPTED
FLOW 23 CSPF: 2 -> 0 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 2 -> 0 -> 5 | ACCEPTED
FLOW 24 IP: 11 -> 12 | ACCEPTED
FLOW 24 CSPF: 11 -> 12 | ACCEPTED
FLOW 24 WEIGHTED: 11 -> 12 | ACCEPTED
FLOW 25 IP: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 25 CSPF: 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 25 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 26 IP: 12 -> 10 -> 6 -> 2 | ACCEPTED
FLOW 26 CSPF: 12 -> 10 -> 6 -> 2 | ACCEPTED
FLOW 26 WEIGHTED: 12 -> 10 -> 2 | ACCEPTED
FLOW 27 IP: 6 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 27 CSPF: 6 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 27 WEIGHTED: 6 -> 4 -> 5 | ACCEPTED
FLOW 28 IP: 0 -> 8 -> 7 | ACCEPTED
FLOW 28 CSPF: 0 -> 8 -> 7 | ACCEPTED
FLOW 28 WEIGHTED: 0 -> 8 -> 7 | ACCEPTED
FLOW 29 IP: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 29 CSPF: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 29 WEIGHTED: 11 -> 6 -> 9 -> 13 | ACCEPTED
FLOW 30 IP: 9 -> 6 | ACCEPTED
FLOW 30 CSPF: 9 -> 6 | ACCEPTED
FLOW 30 WEIGHTED: 9 -> 6 | ACCEPTED
FLOW 31 IP: 8 -> 7 -> 3 | ACCEPTED
FLOW 31 CSPF: 8 -> 7 -> 3 | ACCEPTED
FLOW 31 WEIGHTED: 8 -> 7 -> 3 | ACCEPTED
FLOW 32 IP: 3 -> 7 -> 8 | ACCEPTED
FLOW 32 CSPF: 3 -> 7 -> 8 | ACCEPTED
FLOW 32 WEIGHTED: 3 -> 7 -> 8 | ACCEPTED
FLOW 33 IP: 6 -> 8 | ACCEPTED
FLOW 33 CSPF: 6 -> 8 | ACCEPTED
FLOW 33 WEIGHTED: 6 -> 8 | ACCEPTED
FLOW 34 IP: 13 -> 9 | ACCEPTED
FLOW 34 CSPF: 13 -> 9 | ACCEPTED
FLOW 34 WEIGHTED: 13 -> 9 | ACCEPTED
FLOW 35 IP: 14 -> 4 | ACCEPTED
FLOW 35 CSPF: 14 -> 4 | ACCEPTED
FLOW 35 WEIGHTED: 14 -> 4 | ACCEPTED
FLOW 36 IP: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 36 CSPF: 11 -> 7 -> 8 -> 0 | ACCEPTED
FLOW 36 WEIGHTED: 11 -> 8 -> 0 | ACCEPTED
FLOW 37 IP: 13 -> 14 | ACCEPTED
FLOW 37 CSPF: 13 -> 14 | ACCEPTED
FLOW 37 WEIGHTED: 13 -> 14 | ACCEPTED
FLOW 38 IP: 2 -> 6 -> 8 | ACCEPTED
FLOW 38 CSPF: 2 -> 6 -> 8 | ACCEPTED
FLOW 38 WEIGHTED: 2 -> 6 -> 8 | ACCEPTED
FLOW 39 IP: 6 -> 8 -> 0 | ACCEPTED
FLOW 39 CSPF: 6 -> 8 -> 0 | ACCEPTED
FLOW 39 WEIGHTED: 6 -> 8 -> 0 | ACCEPTED
FLOW 40 IP: 5 -> 13 -> 9 | ACCEPTED
FLOW 40 CSPF: 5 -> 13 -> 9 | ACCEPTED
FLOW 40 WEIGHTED: 5 -> 13 -> 9 | ACCEPTED
FLOW 41 IP: 8 -> 6 | ACCEPTED
FLOW 41 CSPF: 8 -> 6 | ACCEPTED
FLOW 41 WEIGHTED: 8 -> 6 | ACCEPTED
FLOW 42 IP: 5 -> 0 -> 8 -> 6 | ACCEPTED
FLOW 42 CSPF: 5 -> 0 -> 8 -> 6 | ACCEPTED
FLOW 42 WEIGHTED: 5 -> 4 -> 6 | ACCEPTED
FLOW 43 IP: 8 -> 6 -> 9 | ACCEPTED
FLOW 43 CSPF: 8 -> 6 -> 9 | ACCEPTED
FLOW 43 WEIGHTED: 8 -> 6 -> 9 | ACCEPTED
FLOW 44 IP: 7 -> 11 -> 6 -> 9 | ACCEPTED
FLOW 44 CSPF: 7 -> 11 -> 6 -> 9 | ACCEPTED
FLOW 44 WEIGHTED: 7 -> 6 -> 9 | ACCEPTED
FLOW 45 IP: 3 -> 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 45 CSPF: 3 -> 7 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 45 WEIGHTED: 3 -> 11 -> 6 -> 10 | ACCEPTED
FLOW 46 IP: 9 -> 6 -> 2 | ACCEPTED
FLOW 46 CSPF: 9 -> 6 -> 2 | ACCEPTED
FLOW 46 WEIGHTED: 9 -> 6 -> 2 | ACCEPTED
FLOW 47 IP: 8 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 47 CSPF: 8 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 47 WEIGHTED: 8 -> 0 -> 10 -> 12 | ACCEPTED
FLOW 48 IP: 13 -> 10 | ACCEPTED
FLOW 48 CSPF: 13 -> 10 | ACCEPTED
FLOW 48 WEIGHTED: 13 -> 10 | ACCEPTED
FLOW 49 IP: 13 -> 9 -> 6 -> 8 -> 0 | REJECTED
FLOW 49 CSPF: 13 -> 8 -> 0 | ACCEPTED
FLOW 49 WEIGHTED: 13 -> 8 -> 0 | ACCEPTED
FLOW 50 IP: 12 -> 10 -> 6 -> 4 | ACCEPTED
FLOW 50 CSPF: 12 -> 10 -> 6 -> 4 | ACCEPTED
FLOW 50 WEIGHTED: 12 -> 5 -> 4 | ACCEPTED
FLOW 51 IP: 1 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 51 CSPF: 1 -> 6 -> 10 -> 12 | ACCEPTED
FLOW 51 WEIGHTED: 1 -> 12 | ACCEPTED
FLOW 52 IP: 5 -> 4 | ACCEPTED
FLOW 52 CSPF: 5 -> 4 | ACCEPTED
FLOW 52 WEIGHTED: 5 -> 4 | ACCEPTED
FLOW 53 IP: 2 -> 6 -> 4 | ACCEPTED
FLOW 53 CSPF: 2 -> 6 -> 4 | ACCEPTED
FLOW 53 WEIGHTED: 2 -> 6 -> 4 | ACCEPTED
FLOW 54 IP: 2 -> 6 -> 10 | ACCEPTED
FLOW 54 CSPF: 2 -> 6 -> 10 | ACCEPTED
FLOW 54 WEIGHTED: 2 -> 10 | ACCEPTED
FLOW 55 IP: 11 -> 6 -> 4 | ACCEPTED
FLOW 55 CSPF: 11 -> 6 -> 4 | ACCEPTED
FLOW 55 WEIGHTED: 11 -> 4 | ACCEPTED
FLOW 56 IP: 5 -> 7 | ACCEPTED
FLOW 56 CSPF: 5 -> 7 | ACCEPTED
FLOW 56 WEIGHTED: 5 -> 7 | ACCEPTED
FLOW 57 IP: 0 -> 5 -> 4 | ACCEPTED
FLOW 57 CSPF: 0 -> 5 -> 4 | ACCEPTED
FLOW 57 WEIGHTED: 0 -> 5 -> 4 | ACCEPTED
FLOW 58 IP: 6 -> 10 -> 12 | ACCEPTED
FLOW 58 CSPF: 6 -> 10 -> 12 | ACCEPTED
FLOW 58 WEIGHTED: 6 -> 12 | ACCEPTED
FLOW 59 IP: 1 -> 6 -> 4 | ACCEPTED
FLOW 59 CSPF: 1 -> 6 -> 4 | ACCEPTED
FLOW 59 WEIGHTED: 1 -> 6 -> 4 | ACCEPTED

===== RUN 2 =====
FLOW 0 IP: 13 -> 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 0 CSPF: 13 -> 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 0 WEIGHTED: 13 -> 9 -> 6 -> 8 -> 0 | ACCEPTED
FLOW 1 IP: 5 -> 13 | ACCEPTED
FLOW 1 CSPF: 5 -> 13 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 13 | ACCEPTED
FLOW 2 IP: 12 -> 10 | ACCEPTED
FLOW 2 CSPF: 12 -> 10 | ACCEPTED
FLOW 2 WEIGHTED: 12 -> 10 | ACCEPTED
FLOW 3 IP: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 3 CSPF: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 3 WEIGHTED: 9 -> 6 -> 11 -> 7 -> 3 | ACCEPTED
FLOW 4 IP: 9 -> 6 -> 10 | ACCEPTED
FLOW 4 CSPF: 9 -> 6 -> 10 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 6 -> 10 | ACCEPTED
FLOW 5 IP: 10 -> 6 | ACCEPTED
FLOW 5 CSPF: 10 -> 6 | ACCEPTED
FLOW 5 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 6 IP: 5 -> 0 -> 8 | ACCEPTED
FLOW 6 CSPF: 5 -> 0 -> 8 | ACCEPTED
FLOW 6 WEIGHTED: 5 -> 0 -> 8 | ACCEPTED
FLOW 7 IP: 4 -> 14 | ACCEPTED
FLOW 7 CSPF: 4 -> 14 | ACCEPTED
FLOW 7 WEIGHTED: 4 -> 14 | ACCEPTED
FLOW 8 IP: 0 -> 5 | ACCEPTED
FLOW 8 CSPF: 0 -> 5 | ACCEPTED
FLOW 8 WEIGHTED: 0 -> 5 | ACCEPTED
FLOW 9 IP: 5 -> 4 -> 14 | ACCEPTED
FLOW 9 CSPF: 5 -> 4 -> 14 | ACCEPTED
FLOW 9 WEIGHTED: 5 -> 4 -> 14 | ACCEPTED
FLOW 10 IP: 14 -> 8 | ACCEPTED
FLOW 10 CSPF: 14 -> 8 | ACCEPTED
FLOW 10 WEIGHTED: 14 -> 8 | ACCEPTED
FLOW 11 IP: 2 -> 7 -> 3 | ACCEPTED
FLOW 11 CSPF: 2 -> 7 -> 3 | ACCEPTED
FLOW 11 WEIGHTED: 2 -> 7 -> 3 | ACCEPTED
FLOW 12 IP: 2 -> 0 -> 5 | ACCEPTED
FLOW 12 CSPF: 2 -> 0 -> 5 | ACCEPTED
FLOW 12 WEIGHTED: 2 -> 6 -> 4 -> 5 | ACCEPTED
FLOW 13 IP: 8 -> 0 -> 5 | ACCEPTED
FLOW 13 CSPF: 8 -> 0 -> 5 | ACCEPTED
FLOW 13 WEIGHTED: 8 -> 0 -> 5 | ACCEPTED
FLOW 14 IP: 8 -> 6 -> 2 | ACCEPTED
FLOW 14 CSPF: 8 -> 6 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 8 -> 6 -> 2 | ACCEPTED
