n_flows,n_runs,ip_acceptance_mean,cspf_acceptance_mean,weighted_acceptance_mean
30,30,0.10333333333333333,0.11111111111111112,0.10444444444444445
60,30,0.05333333333333334,0.055,0.05444444444444445
90,30,0.03851851851851852,0.04185185185185185,0.04
