=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 0 WEIGHTED: 2 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 1 IP: 1 -> 8 -> 7 | ACCEPTED
FLOW 1 CSPF: 1 -> 8 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 1 -> 8 -> 7 | ACCEPTED
FLOW 2 IP: 10 -> 2 -> 6 | ACCEPTED
FLOW 2 CSPF: 10 -> 2 -> 6 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 2 -> 6 | ACCEPTED
FLOW 3 IP: 7 -> 8 -> 0 | ACCEPTED
FLOW 3 CSPF: 7 -> 8 -> 0 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 8 -> 0 | ACCEPTED
FLOW 4 IP: 9 -> 12 | ACCEPTED
FLOW 4 CSPF: 9 -> 12 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 12 | ACCEPTED
FLOW 5 IP: 7 -> 8 -> 4 | ACCEPTED
FLOW 5 CSPF: 7 -> 8 -> 4 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 11 -> 6 -> 4 | ACCEPTED
FLOW 6 IP: 1 -> 8 -> 4 -> 14 | ACCEPTED
FLOW 6 CSPF: 1 -> 8 -> 4 -> 14 | ACCEPTED
FLOW 6 WEIGHTED: 1 -> 8 -> 4 -> 14 | ACCEPTED
FLOW 7 IP: 0 -> 4 -> 10 | ACCEPTED
FLOW 7 CSPF: 0 -> 4 -> 10 | ACCEPTED
FLOW 7 WEIGHTED: 0 -> 4 -> 10 | ACCEPTED
FLOW 8 IP: 14 -> 4 -> 6 | ACCEPTED
FLOW 8 CSPF: 14 -> 4 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 14 -> 4 -> 6 | ACCEPTED
FLOW 9 IP: 11 -> 6 -> 4 -> 0 | ACCEPTED
FLOW 9 CSPF: 11 -> 6 -> 4 -> 0 | ACCEPTED
FLOW 9 WEIGHTED: 11 -> 0 | ACCEPTED
FLOW 10 IP: 12 -> 8 -> 7 | ACCEPTED
FLOW 10 CSPF: 12 -> 8 -> 7 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 8 -> 7 | ACCEPTED
FLOW 11 IP: 3 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 11 CSPF: 3 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 11 WEIGHTED: 3 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 12 IP: 3 -> 10 -> 2 -> 12 | ACCEPTED
FLOW 12 CSPF: 3 -> 10 -> 2 -> 12 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 10 -> 2 -> 12 | ACCEPTED
FLOW 13 IP: 4 -> 14 | ACCEPTED
FLOW 13 CSPF: 4 -> 14 | ACCEPTED
FLOW 13 WEIGHTED: 4 -> 14 | ACCEPTED
FLOW 14 IP: 13 -> 11 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 14 CSPF: 13 -> 11 -> 6 -> 4 -> 14 | ACCEPTED
