n_flows,run,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_rejected,cspf_rejected,weighted_rejected
30,4.5,0.9766666666666668,0.97,0.9733333333333334,0.7,0.9,0.8
60,4.5,0.8666666666666666,0.9716666666666667,0.97,8.0,1.7,1.8
90,4.5,0.7844444444444444,0.9666666666666666,0.97,19.4,3.0,2.7
