=== LOG DLA 90 FLOWS ===

===== RUN 0 =====
FLOW 31 CSPF: 1 -> 6 -> 10 | ACCEPTED
FLOW 31 WEIGHTED: 1 -> 6 -> 10 | ACCEPTED
FLOW 32 IP: 2 -> 14 | ACCEPTED
FLOW 32 CSPF: 2 -> 14 | ACCEPTED
FLOW 32 WEIGHTED: 2 -> 14 | ACCEPTED
FLOW 33 IP: 1 -> 14 | ACCEPTED
FLOW 33 CSPF: 1 -> 14 | ACCEPTED
FLOW 33 WEIGHTED: 1 -> 14 | ACCEPTED
FLOW 34 IP: 6 -> 13 | ACCEPTED
FLOW 34 CSPF: 6 -> 13 | ACCEPTED
FLOW 34 WEIGHTED: 6 -> 13 | ACCEPTED
FLOW 35 IP: 8 -> 12 | ACCEPTED
FLOW 35 CSPF: 8 -> 12 | ACCEPTED
FLOW 35 WEIGHTED: 8 -> 12 | ACCEPTED
FLOW 36 IP: 3 -> 2 -> 14 | ACCEPTED
FLOW 36 CSPF: 3 -> 2 -> 14 | ACCEPTED
FLOW 36 WEIGHTED: 3 -> 2 -> 14 | ACCEPTED
FLOW 37 IP: 6 -> 4 -> 9 | ACCEPTED
FLOW 37 CSPF: 6 -> 4 -> 9 | ACCEPTED
FLOW 37 WEIGHTED: 6 -> 4 -> 9 | ACCEPTED
FLOW 38 IP: 7 -> 10 | ACCEPTED
FLOW 38 CSPF: 7 -> 10 | ACCEPTED
FLOW 38 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 39 IP: 5 -> 7 -> 9 | ACCEPTED
FLOW 39 CSPF: 5 -> 7 -> 9 | ACCEPTED
FLOW 39 WEIGHTED: 5 -> 7 -> 9 | ACCEPTED
FLOW 40 IP: 9 -> 4 -> 10 | ACCEPTED
FLOW 40 CSPF: 9 -> 4 -> 10 | ACCEPTED
FLOW 40 WEIGHTED: 9 -> 10 | ACCEPTED
FLOW 41 IP: 3 -> 2 -> 0 | ACCEPTED
FLOW 41 CSPF: 3 -> 2 -> 0 | ACCEPTED
FLOW 41 WEIGHTED: 3 -> 11 -> 0 | ACCEPTED
FLOW 42 IP: 11 -> 3 | ACCEPTED
FLOW 42 CSPF: 11 -> 3 | ACCEPTED
FLOW 42 WEIGHTED: 11 -> 3 | ACCEPTED
FLOW 43 IP: 2 -> 7 -> 5 | ACCEPTED
FLOW 43 CSPF: 2 -> 7 -> 5 | ACCEPTED
FLOW 43 WEIGHTED: 2 -> 7 -> 5 | ACCEPTED
FLOW 44 IP: 0 -> 2 -> 14 -> 1 | ACCEPTED
FLOW 44 CSPF: 0 -> 2 -> 14 -> 1 | ACCEPTED
FLOW 44 WEIGHTED: 0 -> 2 -> 14 -> 6 -> 1 | ACCEPTED
FLOW 45 IP: 11 -> 3 | ACCEPTED
FLOW 45 CSPF: 11 -> 3 | ACCEPTED
FLOW 45 WEIGHTED: 11 -> 3 | ACCEPTED
FLOW 46 IP: 9 -> 4 -> 10 | ACCEPTED
FLOW 46 CSPF: 9 -> 4 -> 10 | ACCEPTED
FLOW 46 WEIGHTED: 9 -> 10 | ACCEPTED
FLOW 47 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 47 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 47 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 48 IP: 10 -> 3 | ACCEPTED
FLOW 48 CSPF: 10 -> 3 | ACCEPTED
FLOW 48 WEIGHTED: 10 -> 3 | ACCEPTED
FLOW 49 IP: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 49 CSPF: NONE | REJECTED
FLOW 49 WEIGHTED: NONE | REJECTED
FLOW 50 IP: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 50 CSPF: NONE | REJECTED
FLOW 50 WEIGHTED: NONE | REJECTED
FLOW 51 IP: 9 -> 2 -> 0 | ACCEPTED
FLOW 51 CSPF: 9 -> 2 -> 0 | ACCEPTED
FLOW 51 WEIGHTED: 9 -> 11 -> 0 | ACCEPTED
FLOW 52 IP: 2 -> 0 -> 11 | ACCEPTED
FLOW 52 CSPF: 2 -> 0 -> 11 | ACCEPTED
FLOW 52 WEIGHTED: 2 -> 0 -> 11 | ACCEPTED
FLOW 53 IP: 3 -> 11 | ACCEPTED
FLOW 53 CSPF: 3 -> 11 | ACCEPTED
FLOW 53 WEIGHTED: 3 -> 11 | ACCEPTED
FLOW 54 IP: 10 -> 3 -> 2 -> 0 | ACCEPTED
FLOW 54 CSPF: 10 -> 3 -> 2 -> 0 | ACCEPTED
FLOW 54 WEIGHTED: 10 -> 11 -> 0 | ACCEPTED
FLOW 55 IP: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 55 CSPF: NONE | REJECTED
FLOW 55 WEIGHTED: NONE | REJECTED
FLOW 56 IP: 3 -> 7 -> 1 | ACCEPTED
FLOW 56 CSPF: 3 -> 7 -> 1 | ACCEPTED
FLOW 56 WEIGHTED: 3 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 57 IP: 6 -> 14 -> 2 | ACCEPTED
FLOW 57 CSPF: 6 -> 14 -> 2 | ACCEPTED
FLOW 57 WEIGHTED: 6 -> 14 -> 2 | ACCEPTED
FLOW 58 IP: 7 -> 2 -> 0 | ACCEPTED
FLOW 58 CSPF: 7 -> 2 -> 0 | ACCEPTED
FLOW 58 WEIGHTED: 7 -> 0 | ACCEPTED
FLOW 59 IP: 11 -> 13 -> 6 | ACCEPTED
FLOW 59 CSPF: 11 -> 13 -> 6 | ACCEPTED
