n_flows,n_runs,ip_acceptance_mean,cspf_acceptance_mean,weighted_acceptance_mean
30,30,0.5644444444444444,0.5422222222222222,0.5388888888888889
60,30,0.3466666666666667,0.35055555555555556,0.3477777777777778
90,30,0.26666666666666666,0.26666666666666666,0.26814814814814814
