n_flows,ip_acceptance_mean,ip_acceptance_std,cspf_acceptance_mean,cspf_acceptance_std,weighted_acceptance_mean,weighted_acceptance_std,ip_avg_delay_mean,ip_avg_delay_std,cspf_avg_delay_mean,cspf_avg_delay_std,weighted_avg_delay_mean,weighted_avg_delay_std,ip_max_util_mean,ip_max_util_std,cspf_max_util_mean,cspf_max_util_std,weighted_max_util_mean,weighted_max_util_std,ip_avg_util_mean,ip_avg_util_std,cspf_avg_util_mean,cspf_avg_util_std,weighted_avg_util_mean,weighted_avg_util_std,ip_blocking_mean,ip_blocking_std,cspf_blocking_mean,cspf_blocking_std,weighted_blocking_mean,weighted_blocking_std
30,0.9966666666666667,0.010540925533894558,0.9733333333333334,0.026293687924887215,0.96,0.03442651863295485,7.878961590878738,0.8175263369010453,7.7311627209974505,0.7631646229674363,7.920110474853296,0.7870172367157199,0.7888777107086967,0.14939297497621776,0.7874692600044713,0.15180210985541823,0.6346698113207547,0.19626285779182395,0.14451662153792028,0.020041064106226775,0.14197910702839583,0.016817601924027883,0.13201110424783272,0.015287486860002471,0.0033333333333333296,0.010540925533894588,0.026666666666666637,0.026293687924887153,0.03999999999999996,0.03442651863295478
60,0.8966666666666667,0.0456773439802099,0.9583333333333333,0.03356401659331825,0.9516666666666665,0.03722636792833544,7.936647790766999,0.6926449478455946,7.941151248759482,0.5468283602972608,8.20657055008887,0.4959696136230367,0.9875465757508012,0.012323968657247376,0.990017715721941,0.008782571182306593,0.9259259259259259,0.06590789044463777,0.25244150726510195,0.01929190418861544,0.2837672881941203,0.025207846454389737,0.25949751247976516,0.020767902672953087,0.1033333333333333,0.045677343980209936,0.041666666666666664,0.03356401659331824,0.04833333333333332,0.03722636792833544
90,0.8044444444444444,0.056218269514104524,0.9533333333333334,0.020150326679608102,0.9488888888888889,0.021722782664615123,7.91470025934223,0.5605909417735865,8.571136684069828,0.6321422133608431,8.597883438356288,0.5686389616051978,0.9963624338624338,0.007670247026946503,0.9981481481481481,0.00585606974105251,0.9840079568893128,0.01928688077136465,0.31505212125151577,0.0183382015529012,0.41505617658512417,0.031538771916681745,0.3754426099690568,0.03132465243221564,0.19555555555555554,0.05621826951410454,0.046666666666666606,0.02015032667960806,0.05111111111111105,0.02172278266461508
