n_flows,n_runs,ip_acceptance_mean,cspf_acceptance_mean,weighted_acceptance_mean
30,30,0.5722222222222222,0.5111111111111111,0.4988888888888889
60,30,0.37,0.36444444444444446,0.37277777777777776
90,30,0.29888888888888887,0.2866666666666667,0.2885185185185185
