n_flows,run_idx,seed,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_avg_delay,cspf_avg_delay,weighted_avg_delay,ip_avg_util,ip_max_util,cspf_avg_util,cspf_max_util,weighted_avg_util,weighted_max_util,ip_rejected,cspf_rejected,weighted_rejected
30,0,1774924786,0.5333333333333333,0.6,0.6333333333333333,12.72898258061648,12.530648359353757,12.42351334279349,0.7376780008477363,0.9540229885057471,0.7168670576364978,0.9787234042553191,0.7535291543745094,0.9787234042553191,14,12,11
30,1,1774924787,0.4666666666666667,0.43333333333333335,0.43333333333333335,10.600591146612546,11.103731893273194,11.103731893273194,0.5598602271700516,0.967741935483871,0.5033769969831946,0.9195402298850575,0.5033769969831946,0.9195402298850575,16,17,17
30,2,1774924788,0.4666666666666667,0.43333333333333335,0.4,13.465619100989887,13.267467594689991,12.565954191177743,0.6024358269574933,1.0,0.6052440483329657,1.0,0.5191738933079053,1.0,16,17,18
30,3,1774924789,0.5333333333333333,0.4666666666666667,0.43333333333333335,13.526797247119044,11.203773627947868,10.569126232679745,0.602762847877492,1.0,0.5901180008913083,1.0,0.5310577097663763,1.0,14,16,17
30,4,1774924790,0.6333333333333333,0.5333333333333333,0.5,9.56843205294799,9.607874159654038,9.663906437540767,0.6585439751159492,0.9852941176470589,0.5172136451874794,0.9852941176470589,0.44444704275103103,0.9852941176470589,11,14,15
30,5,1774924791,0.7,0.5,0.4666666666666667,13.152984196687985,12.983914089010977,12.77984066740845,0.7736072332915339,1.0,0.6148312175661405,0.9484536082474226,0.5971623695602137,0.9484536082474226,9,15,16
30,6,1774924792,0.5333333333333333,0.4666666666666667,0.43333333333333335,11.866236853412715,8.752069537921205,8.384283065753406,0.625364140262832,0.9322033898305084,0.5180219590763472,0.9195402298850575,0.4898284033802973,0.9195402298850575,14,16,17
30,7,1774924793,0.6,0.4,0.4,11.604459438620836,12.339991923449071,12.77894898439304,0.6662817532867099,1.0,0.6002629741264415,1.0,0.6070835345760622,1.0,12,18,18
30,8,1774924794,0.4666666666666667,0.4,0.36666666666666664,12.008514355827357,10.202674146607414,9.85842664221649,0.6285397404127843,0.9770114942528736,0.5122292330016232,0.9830508474576272,0.4878431298227875,0.9830508474576272,16,18,19
30,9,1774924795,0.5,0.5666666666666667,0.5666666666666667,10.838200331967347,11.734228130398368,11.734228130398368,0.6460124958142429,0.9438202247191011,0.7698661443002468,0.9857142857142858,0.7698661443002468,0.9857142857142858,15,13,13
30,10,1774924796,0.5666666666666667,0.6,0.6,10.504583720900387,8.698636297495646,8.698636297495646,0.6024241795939368,0.9830508474576272,0.5977229915030897,1.0,0.5977229915030897,1.0,13,12,12
30,11,1774924797,0.6,0.5333333333333333,0.5333333333333333,13.863205347899273,12.713137708017726,13.403331981307382,0.703339895982065,1.0,0.6463668843839249,1.0,0.6826731208275694,1.0,12,14,14
30,12,1774924798,0.6666666666666666,0.6,0.6,10.001303696412823,9.54275571137289,9.54275571137289,0.6728327930833089,0.9830508474576272,0.6147354449599465,0.9830508474576272,0.6147354449599465,0.9830508474576272,10,12,12
30,13,1774924799,0.6,0.5333333333333333,0.5666666666666667,10.565270057766948,10.068030473778002,10.464950976136778,0.5919419204131003,1.0,0.5420967301578735,1.0,0.5951856922437881,0.967741935483871,12,14,13
30,14,1774924800,0.5333333333333333,0.5333333333333333,0.5,11.704832409398895,11.8710706632499,11.869705279707922,0.6182515554591099,1.0,0.623835186605877,0.96,0.6544770321811306,1.0,14,14,15
30,15,1774924801,0.5666666666666667,0.6,0.5666666666666667,12.6087186675524,12.136755106501703,12.248586969629645,0.6236944514522419,0.9857142857142858,0.6750270047301202,0.9571428571428572,0.6314822877111964,0.9325842696629213,13,12,13
30,16,1774924802,0.7333333333333333,0.5333333333333333,0.5333333333333333,11.91078461505905,11.549053781960199,11.549053781960199,0.7308034203480666,0.9833333333333333,0.6107745329534016,0.8888888888888888,0.6107745329534016,0.8888888888888888,8,14,14
30,17,1774924803,0.6333333333333333,0.5666666666666667,0.5666666666666667,12.271076246238083,10.893460724100962,10.893460724100962,0.7277231803358206,0.967741935483871,0.6315196764715042,0.92,0.6315196764715042,0.92,11,13,13
30,18,1774924804,0.6333333333333333,0.6,0.5666666666666667,11.306215607773472,11.47988272696369,10.935291994056003,0.7542075196971859,0.9857142857142858,0.7359986869413364,1.0,0.6795059333710382,0.9166666666666666,11,12,13
30,19,1774924805,0.6333333333333333,0.6,0.6,10.358260951666963,10.88837433097787,11.13571388623501,0.7224458519971736,0.9491525423728814,0.642251962061043,1.0,0.6662148628712345,1.0,11,12,12
30,20,1774924806,0.6,0.5666666666666667,0.5333333333333333,9.88310036949255,10.210758544917605,9.84496985449957,0.5637126510891995,0.9887640449438202,0.585127496299491,0.9887640449438202,0.5537920580619662,0.9516129032258065,12,13,14
30,21,1774924807,0.5333333333333333,0.5,0.43333333333333335,10.748051557820812,10.27181905364338,9.73496887951081,0.5647169397067384,1.0,0.6484500067291523,1.0,0.5415134447876021,1.0,14,15,17
30,22,1774924808,0.5333333333333333,0.5,0.4666666666666667,11.699932996844353,11.810874962149756,11.05733996047197,0.6661796290983403,1.0,0.6038749209193232,1.0,0.49243069685665763,1.0,14,15,16
30,23,1774924809,0.6666666666666666,0.6,0.6,12.41188528543036,14.01879497020265,13.974923591146608,0.630418154761037,1.0,0.7165947284374506,1.0,0.7300008330039944,0.9468085106382979,10,12,12
30,24,1774924810,0.4666666666666667,0.36666666666666664,0.4,12.752668058734045,10.448443533657162,11.49322224571919,0.5807880056021794,0.9857142857142858,0.507561238498344,0.9833333333333333,0.5928813759880638,1.0,16,19,18
30,25,1774924811,0.7,0.6,0.6,9.551327005271249,8.583957434540329,8.583957434540329,0.6788900817889445,1.0,0.5169667184896785,0.9491525423728814,0.5142350813231438,0.9550561797752809,9,12,12
30,26,1774924812,0.5333333333333333,0.3333333333333333,0.3333333333333333,13.40569451571304,13.560590561886467,13.560590561886467,0.6046724699974002,0.9661016949152542,0.4150284814286224,0.8833333333333333,0.4150284814286224,0.8833333333333333,14,20,20
30,27,1774924813,0.4666666666666667,0.43333333333333335,0.4,12.9550576327398,12.452566825753765,12.13965553042398,0.5811277410432998,0.9661016949152542,0.4464435955858595,0.9661016949152542,0.43313542157720264,0.847457627118644,16,17,18
30,28,1774924814,0.5333333333333333,0.4666666666666667,0.4666666666666667,11.363662817367773,10.810788592588088,11.508675283916043,0.5333719722061778,0.9666666666666667,0.5849512827240615,0.8823529411764706,0.6004288398967691,1.0,14,16,16
30,29,1774924815,0.5333333333333333,0.4666666666666667,0.4666666666666667,13.05769868241428,12.023373889429369,12.69456589694032,0.6370603249615925,0.9775280898876404,0.6679286176722095,0.9838709677419355,0.6995887725518007,0.9838709677419355,14,16,16
60,0,1774954786,0.4166666666666667,0.38333333333333336,0.38333333333333336,12.285688229284508,11.564038029596441,12.417877746870502,0.8899856003144482,1.0,0.7667817663625424,0.9438202247191011,0.7947793826060915,0.9696969696969697,35,37,37
60,1,1774954787,0.38333333333333336,0.36666666666666664,0.36666666666666664,10.996563228599802,11.729084010538186,11.931452737566756,0.7891461570178472,0.9393939393939394,0.6856356653991893,1.0,0.7335614670195721,1.0,37,38,38
60,2,1774954788,0.43333333333333335,0.43333333333333335,0.4,9.738034094255354,9.30131383291381,9.3475941179116,0.7455532089273252,1.0,0.7738349715100372,0.9885057471264368,0.7552053950541514,1.0,34,34,36
60,3,1774954789,0.4166666666666667,0.4,0.4,12.252618703043954,12.24349959547643,12.369510086999867,0.8131943795977585,1.0,0.7963611996599246,1.0,0.8059219297427961,1.0,35,36,36
60,4,1774954790,0.35,0.4,0.4166666666666667,12.898446710494914,11.806491995069912,10.948534553417705,0.7903706461652404,0.9896907216494846,0.8411554210258494,0.98989898989899,0.8112015649073592,0.98989898989899,39,36,35
60,5,1774954791,0.4,0.38333333333333336,0.4,11.39904914508162,12.587283104227525,12.78952040017294,0.7807765403656176,1.0,0.8226505981776712,0.9866666666666667,0.8305329764050696,0.9857142857142858,36,37,36
60,6,1774954792,0.43333333333333335,0.4166666666666667,0.4166666666666667,10.261842993355613,11.147920862276564,10.725934599691175,0.7509840983914937,0.9857142857142858,0.7865228317325023,1.0,0.7974121477023794,0.9795918367346939,34,35,35
60,7,1774954793,0.35,0.38333333333333336,0.38333333333333336,9.779836780505626,11.750405429877445,11.750405429877445,0.6723529275104293,1.0,0.7857097280286843,0.9885057471264368,0.7857097280286843,0.9885057471264368,39,37,37
60,8,1774954794,0.36666666666666664,0.4,0.4,11.227302156648648,12.379185786808106,12.379185786808106,0.7737995969946732,1.0,0.8013372795120802,1.0,0.8013372795120802,1.0,38,36,36
60,9,1774954795,0.35,0.35,0.3333333333333333,11.1413874389039,11.20361402583849,11.025177157558213,0.7710235097478647,0.9550561797752809,0.7548983967384294,1.0,0.7290160437972528,1.0,39,39,40
60,10,1774954796,0.38333333333333336,0.35,0.4,12.342845326384683,10.356129368612404,9.76762431366111,0.7751268357613751,0.9830508474576272,0.7942653853707117,1.0,0.7515354319361018,1.0,37,39,36
60,11,1774954797,0.36666666666666664,0.36666666666666664,0.36666666666666664,11.020068503638583,9.666146954839176,9.666146954839176,0.8177270427632272,1.0,0.727527873890743,0.967741935483871,0.727527873890743,0.967741935483871,38,38,38
60,12,1774954798,0.3,0.2833333333333333,0.31666666666666665,13.513674397141664,10.271771686153887,9.862235620158321,0.7706411908154164,1.0,0.6424806091251882,1.0,0.6391314005453274,0.9775280898876404,42,43,41
60,13,1774954799,0.38333333333333336,0.35,0.36666666666666664,11.54447907587126,11.39779595472483,10.740081866968263,0.7917521177067164,0.9896907216494846,0.8305992455313203,1.0,0.8390783051504761,1.0,37,39,38
60,14,1774954800,0.31666666666666665,0.31666666666666665,0.3333333333333333,12.110787652477512,10.327998201035863,11.050046496528905,0.7996127961446924,1.0,0.6934157801738899,0.9857142857142858,0.7784742315842527,1.0,41,41,40
60,15,1774954801,0.3,0.31666666666666665,0.31666666666666665,11.428326001357188,12.815854679568085,12.656683532380589,0.7310352571303878,0.9775280898876404,0.7777732989051354,0.9885057471264368,0.7777732989051354,0.9885057471264368,42,41,41
60,16,1774954802,0.3333333333333333,0.31666666666666665,0.31666666666666665,11.742831737245012,11.774260300585134,12.0537043699754,0.8097781136574432,1.0,0.7858448218517732,1.0,0.7964369734895309,1.0,40,41,41
60,17,1774954803,0.36666666666666664,0.31666666666666665,0.3333333333333333,11.294240060361364,11.532530508065925,10.505229075582704,0.7486465653349508,0.9425287356321839,0.7188955193887682,0.98989898989899,0.7205061247362033,0.98989898989899,38,41,40
60,18,1774954804,0.4166666666666667,0.4,0.4166666666666667,11.471000470694372,10.279548032591483,10.431793778300465,0.811704756671968,1.0,0.7122947278466178,0.9770114942528736,0.7290723583430251,0.9693877551020408,35,36,35
60,19,1774954805,0.31666666666666665,0.35,0.35,11.555406037261497,10.75703998119113,10.75703998119113,0.8241588765641571,0.9833333333333333,0.8238398822304173,1.0,0.8238398822304173,1.0,41,39,39
60,20,1774954806,0.5,0.4,0.45,9.487428269869316,11.042859226039122,9.620998849487886,0.8387719248873107,1.0,0.8189187765480976,1.0,0.8017495709526654,0.9885057471264368,30,36,33
60,21,1774954807,0.35,0.3333333333333333,0.36666666666666664,11.84427065019792,12.063659330397872,11.73572154421292,0.7368990460790719,0.9887640449438202,0.8059732232960495,0.9887640449438202,0.8523745748383175,0.98989898989899,39,40,38
60,22,1774954808,0.31666666666666665,0.3,0.3,11.976037990745587,11.17276517834923,10.08934736866472,0.6932158807903777,0.9833333333333333,0.7056433484657471,1.0,0.6707752773815503,0.9857142857142858,41,42,42
60,23,1774954809,0.36666666666666664,0.4166666666666667,0.4,11.508626975492774,10.680797854642424,10.262353214793357,0.7754499931364566,1.0,0.7396950705281158,1.0,0.7187731460106855,1.0,38,35,36
60,24,1774954810,0.48333333333333334,0.48333333333333334,0.4666666666666667,11.30226840003164,10.471970643181034,10.338404155613668,0.8250728681031856,1.0,0.8496253642062283,1.0,0.8437856558077436,1.0,31,31,32
60,25,1774954811,0.2833333333333333,0.3,0.3,12.5199509259371,12.694883332976062,12.673895752329203,0.6864511524087115,1.0,0.6993120717614894,1.0,0.7311669490301539,1.0,43,42,42
60,26,1774954812,0.3333333333333333,0.31666666666666665,0.36666666666666664,9.582686581530464,10.370971463950413,10.155860838886781,0.7071357004991442,1.0,0.8000945564004265,1.0,0.7876123041593155,1.0,40,41,38
60,27,1774954813,0.3333333333333333,0.31666666666666665,0.35,12.229772832729703,12.52492605046422,10.97464525734915,0.8603362817358728,0.9775280898876404,0.8292886449205175,1.0,0.770118355593262,0.9770114942528736,40,41,39
