n_flows,run,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_blocking,cspf_blocking,weighted_blocking,ip_avg_delay,cspf_avg_delay,weighted_avg_delay,ip_avg_util,cspf_avg_util,weighted_avg_util,ip_max_util,cspf_max_util,weighted_max_util
30,0,1.0,1.0,1.0,0.0,0.0,0.0,6.780794152448309,6.780794152448309,7.172358317137547,0.13388231326667385,0.13388231326667385,0.12035203824982732,0.7592592592592593,0.7592592592592593,0.6481481481481481
30,1,1.0,0.9333333333333333,0.9,0.0,0.06666666666666665,0.09999999999999998,8.122366993651568,7.542897712267663,7.43537233583648,0.17492808532450155,0.16541299015829128,0.14612768496651507,0.9814814814814815,0.9814814814814815,0.9814814814814815
30,2,1.0,0.9333333333333333,0.9333333333333333,0.0,0.06666666666666665,0.06666666666666665,8.06762149199451,7.734504279836093,8.279027015882841,0.1808264378901048,0.16990268802647257,0.1552401498314656,0.7142857142857143,0.7142857142857143,0.4716981132075472
30,3,1.0,1.0,0.9666666666666667,0.0,0.0,0.033333333333333326,8.207756788956745,8.207756788956745,8.32934110555402,0.15095690754917468,0.15095690754917468,0.13746754453725588,0.9814814814814815,0.9814814814814815,0.7962962962962963
30,4,1.0,0.9666666666666667,0.9333333333333333,0.0,0.033333333333333326,0.06666666666666665,8.320275111916507,8.160461532660666,8.260227001699002,0.13326504053304367,0.12897113535257335,0.10924734359818938,0.7222222222222222,0.7222222222222222,0.7037037037037037
30,5,0.9666666666666667,1.0,1.0,0.033333333333333326,0.0,0.0,6.800239288828085,6.790748173081167,6.794604463978263,0.1389346740805692,0.14603373964348373,0.13870637188252458,0.9259259259259259,0.9259259259259259,0.8518518518518519
30,6,1.0,0.9666666666666667,0.9666666666666667,0.0,0.033333333333333326,0.033333333333333326,8.216081505257405,8.127512073087969,8.409925973119417,0.13652858710376847,0.1340364758014162,0.1302744582500296,0.7407407407407407,0.7407407407407407,0.5740740740740741
30,7,1.0,0.9666666666666667,0.9666666666666667,0.0,0.033333333333333326,0.033333333333333326,8.174322462592814,8.009282911807922,8.290267770283535,0.13455073565855807,0.13332879558437805,0.13108862150045777,0.5633802816901409,0.5492957746478874,0.39285714285714285
30,8,1.0,0.9666666666666667,0.9333333333333333,0.0,0.033333333333333326,0.06666666666666665,9.272449165439813,9.129960638126336,9.265823775718664,0.14663640542237044,0.14260899635105695,0.14245933244032322,0.8928571428571429,0.8928571428571429,0.48214285714285715
30,9,1.0,1.0,1.0,0.0,0.0,0.0,6.8277089477016295,6.8277089477016295,6.96415698932319,0.1146570285504384,0.1146570285504384,0.10914749722173928,0.6071428571428571,0.6071428571428571,0.4444444444444444
60,0,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.06666666666666665,0.08333333333333337,0.06666666666666665,8.480471850621912,8.058816996767124,8.326324276000701,0.23801186984853995,0.232314513240666,0.2240650020152537,0.9814814814814815,0.9814814814814815,0.9629629629629629
60,1,0.85,0.9166666666666666,0.9166666666666666,0.15000000000000002,0.08333333333333337,0.08333333333333337,7.393901903815289,7.262899359366183,7.699633371376741,0.26461661989086854,0.29951231635365505,0.264737232048223,0.9814814814814815,0.987012987012987,0.9814814814814815
60,2,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.1333333333333333,0.033333333333333326,0.033333333333333326,7.889214337529855,8.0603877456963,8.393041887100006,0.2713199938221641,0.3104328158017633,0.2739444620948033,1.0,1.0,0.7962962962962963
60,3,0.85,0.9833333333333333,0.9833333333333333,0.15000000000000002,0.01666666666666672,0.01666666666666672,7.499826569061282,8.0721925178607,8.35220159980393,0.2224347348365966,0.2798061656271196,0.2711794724458729,1.0,1.0,0.9814814814814815
60,4,0.85,0.95,0.9333333333333333,0.15000000000000002,0.050000000000000044,0.06666666666666665,8.026359773197326,8.30561796475091,8.610106230258399,0.23694662390761645,0.2662008551931028,0.2475340406347616,1.0,1.0,0.9444444444444444
60,5,0.9333333333333333,1.0,1.0,0.06666666666666665,0.0,0.0,7.406932372861284,7.474529341687828,7.766546161511997,0.26483260100157086,0.3108492230712697,0.2606152730093683,1.0,1.0,0.8518518518518519
60,6,0.8666666666666667,0.9833333333333333,0.9833333333333333,0.1333333333333333,0.01666666666666672,0.01666666666666672,7.946814953964141,8.008661837184853,8.446908118487334,0.2372092561895741,0.3037423912543831,0.2834584549487136,0.9629629629629629,0.9821428571428571,0.9814814814814815
60,7,0.9666666666666667,0.95,0.9333333333333333,0.033333333333333326,0.050000000000000044,0.06666666666666665,8.215762361613526,7.964364344002552,8.154475030534197,0.2701147931557899,0.2754464516700327,0.25975119367004634,0.9814814814814815,0.9814814814814815,0.8888888888888888
60,8,0.9,0.9166666666666666,0.8833333333333333,0.09999999999999998,0.08333333333333337,0.1166666666666667,9.471559197148984,9.045022912262542,9.014083446490535,0.27816870898785934,0.29631669039984054,0.2821561216724397,0.9821428571428571,0.9821428571428571,0.9814814814814815
60,9,0.95,1.0,0.9833333333333333,0.050000000000000044,0.0,0.01666666666666672,7.035634587856388,7.159019468015829,7.302385379324857,0.24075987101044005,0.2630514593293699,0.22753387225816915,0.9859154929577465,0.9859154929577465,0.8888888888888888
90,0,0.9,0.9333333333333333,0.9333333333333333,0.09999999999999998,0.06666666666666665,0.06666666666666665,8.011911901240223,7.892345317697202,8.35020016198177,0.32977007292968125,0.35602364900533634,0.3349833829189991,0.9814814814814815,0.9814814814814815,0.9629629629629629
90,1,0.7777777777777778,0.9222222222222223,0.9333333333333333,0.2222222222222222,0.07777777777777772,0.06666666666666665,7.491232852090371,8.5017870993267,8.611132633860132,0.32421147152605667,0.4250501229725103,0.39003774032622435,1.0,1.0,1.0
90,2,0.7888888888888889,0.9666666666666667,0.9666666666666667,0.21111111111111114,0.033333333333333326,0.033333333333333326,7.776196584811902,8.440673867556443,8.225690022251111,0.31917789507946587,0.42147510294277685,0.3656514865569689,1.0,1.0,0.9661016949152542
90,3,0.7444444444444445,0.9555555555555556,0.9666666666666667,0.25555555555555554,0.0444444444444444,0.033333333333333326,7.655300834299883,8.600868572051942,8.644742968431396,0.2830640797149379,0.4173906282596088,0.384034124829085,1.0,1.0,1.0
90,4,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.2666666666666667,0.06666666666666665,0.06666666666666665,7.717852298896345,8.716314194778604,8.728034639050849,0.29070369334371404,0.42038609860136167,0.368266259804217,1.0,1.0,0.948051948051948
90,5,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.16666666666666663,0.011111111111111072,0.011111111111111072,7.146864807210842,8.25170664155349,7.967788989205807,0.3271697757553523,0.42970842683739924,0.36677584675611746,1.0,1.0,1.0
90,6,0.8111111111111111,0.9666666666666667,0.9444444444444444,0.18888888888888888,0.033333333333333326,0.05555555555555558,8.344209160084302,8.641241280909359,8.618150934722824,0.3102849913824063,0.42299049020339907,0.37199379916550496,1.0,1.0,0.9814814814814815
90,7,0.8555555555555555,0.9666666666666667,0.9333333333333333,0.1444444444444445,0.033333333333333326,0.06666666666666665,8.382682790134528,8.928447937887425,8.924991694178637,0.3386301751148397,0.41493469192287835,0.3835157503014801,1.0,1.0,1.0
90,8,0.7444444444444445,0.9444444444444444,0.9222222222222223,0.25555555555555554,0.05555555555555558,0.07777777777777772,9.087611081468783,10.026537938160997,9.937114310943615,0.32724780456871305,0.4709843203321177,0.44878256473323386,0.9821428571428571,1.0,0.9814814814814815
