n_flows,run,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_blocking,cspf_blocking,weighted_blocking,ip_avg_delay,cspf_avg_delay,weighted_avg_delay,ip_avg_util,cspf_avg_util,weighted_avg_util,ip_max_util,cspf_max_util,weighted_max_util
30,4.5,0.9966666666666667,0.9733333333333334,0.96,0.0033333333333333327,0.02666666666666666,0.039999999999999994,7.878961590878738,7.7311627209974505,7.920110474853296,0.1445166215379203,0.14197910702839592,0.13201110424783277,0.7888777107086966,0.7874692600044713,0.6346698113207547
60,4.5,0.8966666666666667,0.9583333333333333,0.9516666666666665,0.10333333333333332,0.0416666666666667,0.04833333333333335,7.936647790766999,7.941151248759482,8.20657055008887,0.25244150726510195,0.2837672881941203,0.25949751247976516,0.9875465757508011,0.990017715721941,0.9259259259259259
90,4.5,0.8044444444444444,0.9533333333333334,0.9488888888888889,0.19555555555555557,0.04666666666666665,0.05111111111111109,7.914700259342228,8.571136684069828,8.597883438356288,0.3150521212515158,0.4150561765851243,0.3754426099690569,0.9963624338624338,0.9981481481481481,0.9840079568893128
