n_flows,run,ip_acceptance,cspf_acceptance,weighted_acceptance
30,0,1.0,0.9666666666666667,0.9666666666666667
30,1,1.0,0.9666666666666667,0.9666666666666667
30,2,1.0,0.9333333333333333,0.9333333333333333
30,3,1.0,0.9666666666666667,0.9666666666666667
30,4,1.0,0.9333333333333333,0.9333333333333333
30,5,1.0,0.9333333333333333,0.9333333333333333
30,6,1.0,0.9,0.8666666666666667
30,7,1.0,0.9333333333333333,0.9333333333333333
30,8,1.0,1.0,1.0
30,9,1.0,0.9666666666666667,0.9666666666666667
60,0,0.9666666666666667,0.9833333333333333,0.9833333333333333
60,1,0.95,0.95,0.95
60,2,1.0,0.95,0.9166666666666666
60,3,1.0,0.9833333333333333,0.9833333333333333
60,4,1.0,0.9,0.9
60,5,0.9166666666666666,0.9333333333333333,0.9166666666666666
60,6,0.8833333333333333,0.9166666666666666,0.9166666666666666
60,7,0.95,0.8833333333333333,0.8833333333333333
60,8,0.9166666666666666,0.9333333333333333,0.9166666666666666
60,9,1.0,0.95,0.9333333333333333
90,0,0.9222222222222223,0.9777777777777777,0.9666666666666667
90,1,0.8666666666666667,0.9444444444444444,0.9222222222222223
90,2,0.9666666666666667,0.9444444444444444,0.9111111111111111
90,3,0.9,0.9555555555555556,0.9555555555555556
90,4,0.9444444444444444,0.9222222222222223,0.9333333333333333
90,5,0.8666666666666667,0.9333333333333333,0.9222222222222223
90,6,0.8111111111111111,0.9222222222222223,0.9111111111111111
90,7,0.9,0.9111111111111111,0.9111111111111111
90,8,0.8222222222222222,0.9444444444444444,0.9222222222222223
90,9,0.9555555555555556,0.9666666666666667,0.9555555555555556
